T_REC,HARPNUM,USFLUX,TOTUSJH,TOTUSJZ,R_VALUE,AREA_ACR,TOTPOT,MEANPOT,ABSNJZ,SAVNCPP,MEANGAM,MEANGBT,MEANGBZ,MEANJZD,TOTFZD,SHRGT45,MEANALP,TOTUSHT,EPSX,EPSY,EPSZ
2025.12.07_00:00:00_TAI,14108,8.798693e+21,290.999,6277348000000.0,3.577,370.393036,4.029825e+22,2196.935,Invalid KeyLink,1114483000000.0,28.651,68.315,83.996,-0.02624361,Invalid KeyLink,13.966,-0.00780583,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:12:00_TAI,14108,8.477716e+21,298.185,6636118000000.0,3.836,387.970184,4.266811e+22,2409.881,Invalid KeyLink,248476500000.0,29.198,69.359,87.597,-0.01482058,Invalid KeyLink,14.304,-0.00401178,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:24:00_TAI,14108,8.395993e+21,289.248,6604554000000.0,3.486,385.760254,3.881327e+22,2229.113,Invalid KeyLink,1348625000000.0,27.734,73.524,90.326,-0.20149206,Invalid KeyLink,14.82,0.0014669,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:36:00_TAI,14108,8.395354e+21,264.935,5826288000000.0,3.668,374.600159,3.884796e+22,2242.393,Invalid KeyLink,738787800000.0,28.385,66.812,81.703,-0.07940794,Invalid KeyLink,14.051,-0.0075372,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_00:48:00_TAI,14108,8.211889e+21,234.938,5255738000000.0,3.743,379.285767,3.631546e+22,2171.105,Invalid KeyLink,803358200000.0,27.734,63.85,79.617,0.02530586,Invalid KeyLink,11.909,-0.00599796,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:00:00_TAI,14108,8.015046e+21,233.137,5418250000000.0,3.318,347.672943,3.468348e+22,2110.4,Invalid KeyLink,1783321000000.0,27.804,67.674,84.865,-0.28226462,Invalid KeyLink,12.719,-0.00327152,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:12:00_TAI,14108,7.681108e+21,244.034,5384969000000.0,3.655,343.014801,3.72888e+22,2391.651,Invalid KeyLink,633934400000.0,27.403,72.18,90.688,-0.10576402,Invalid KeyLink,13.049,-0.00238074,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:24:00_TAI,14108,7.748973e+21,243.232,5355482000000.0,3.907,349.795929,3.187227e+22,2019.813,Invalid KeyLink,249922500000.0,26.925,67.687,82.948,-0.03517325,Invalid KeyLink,11.109,-0.00010619,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:36:00_TAI,14108,7.401568e+21,217.438,5160785000000.0,4.262,332.544525,3.307847e+22,2139.466,Invalid KeyLink,436796300000.0,28.285,72.475,91.132,-0.07348385,Invalid KeyLink,13.924,-0.0019205,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_01:48:00_TAI,14108,7.134288e+21,234.138,5314441000000.0,4.129,362.52298,3.160073e+22,2150.664,Invalid KeyLink,1552584000000.0,27.138,72.977,90.65,-0.27483553,Invalid KeyLink,13.295,0.00124515,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:00:00_TAI,14108,6.762807e+21,185.454,4006642000000.0,3.887,358.599121,2.692239e+22,1990.985,Invalid KeyLink,76985570000.0,26.777,64.978,79.704,-0.00717376,Invalid KeyLink,10.165,-0.00130452,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:12:00_TAI,14108,6.13833e+21,199.135,4679695000000.0,4.279,356.285309,3.402653e+22,2641.124,Invalid KeyLink,1245317000000.0,27.219,75.982,102.556,-0.25140411,Invalid KeyLink,13.504,0.00203869,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:24:00_TAI,14108,5.983918e+21,159.024,3650979000000.0,4.449,352.926544,2.452889e+22,1948.511,Invalid KeyLink,137039100000.0,28.488,66.714,80.739,0.02773695,Invalid KeyLink,12.839,-0.00120965,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:36:00_TAI,14108,5.544574e+21,160.995,3698584000000.0,4.579,366.001801,2.648335e+22,2313.681,Invalid KeyLink,1190929000000.0,27.837,66.206,82.491,0.09371471,Invalid KeyLink,11.649,0.00438772,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_02:48:00_TAI,14108,5.342874e+21,131.308,2981504000000.0,4.41,374.094391,1.968382e+22,1800.932,Invalid KeyLink,209540900000.0,26.932,63.253,77.975,-0.04985936,Invalid KeyLink,10.717,-0.00223346,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
2025.12.07_03:00:00_TAI,14108,4.908177e+21,126.826,2915719000000.0,4.585,372.533264,2.117228e+22,2070.987,Invalid KeyLink,740403200000.0,27.156,67.111,82.071,0.18834673,Invalid KeyLink,10.886,0.00121736,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink,Invalid KeyLink
